,Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,datetime,month
5628,31/10/2004,6,"0,4",791.0,"1,2",519.0,43.0,1291.0,31.0,1295.0,540.0,18.1,79.0,1.6224,2004-10-31,October
5629,31/10/2004,7,"0,4",819.0,"1,4",537.0,46.0,1264.0,30.0,1315.0,551.0,20.4,71.2,1.6834,2004-10-31,October
5630,31/10/2004,8,"0,9",972.0,"4,6",743.0,139.0,944.0,41.0,1477.0,742.0,20.6,70.7,1.6996,2004-10-31,October
5631,31/10/2004,9,"1,3",997.0,"5,7",797.0,169.0,812.0,64.0,1470.0,824.0,19.3,74.1,1.6391,2004-10-31,October
5632,31/10/2004,10,"2,1",1194.0,"10,6",1000.0,254.0,653.0,74.0,1642.0,1059.0,22.2,64.4,1.7005,2004-10-31,October
5633,31/10/2004,11,"2,4",1240.0,"11,0",1014.0,303.0,628.0,77.0,1643.0,1144.0,23.0,64.6,1.7851,2004-10-31,October
5634,31/10/2004,12,2,1117.0,"8,6",922.0,259.0,717.0,83.0,1585.0,994.0,24.3,57.4,1.7233,2004-10-31,October
5635,31/10/2004,13,"1,8",1141.0,"8,8",932.0,226.0,689.0,71.0,1595.0,1014.0,22.0,67.0,1.7441,2004-10-31,October
5636,31/10/2004,14,"1,5",1062.0,"7,5",880.0,161.0,719.0,62.0,1580.0,924.0,22.9,65.7,1.8148,2004-10-31,October
5637,31/10/2004,15,"1,6",1160.0,"11,6",1036.0,182.0,622.0,62.0,1727.0,1023.0,23.2,63.9,1.7957,2004-10-31,October
5638,31/10/2004,16,"2,2",1169.0,"10,1",983.0,289.0,672.0,79.0,1633.0,1033.0,23.0,62.3,1.7248,2004-10-31,October
5639,31/10/2004,17,"2,3",1185.0,"10,8",1006.0,340.0,666.0,93.0,1638.0,1065.0,22.4,63.2,1.6878,2004-10-31,October
5640,31/10/2004,18,"6,6",1571.0,"30,3",1559.0,544.0,440.0,106.0,2277.0,1516.0,21.7,66.6,1.7077,2004-10-31,October
5641,31/10/2004,19,"4,7",1464.0,"22,4",1362.0,543.0,487.0,100.0,1987.0,1648.0,21.2,70.3,1.7476,2004-10-31,October
5642,31/10/2004,20,"4,1",1423.0,"20,6",1314.0,501.0,508.0,89.0,1912.0,1466.0,20.8,70.9,1.7203,2004-10-31,October
5643,31/10/2004,21,"4,1",1318.0,"17,5",1226.0,521.0,543.0,83.0,1848.0,1365.0,20.0,73.2,1.6965,2004-10-31,October
5644,31/10/2004,22,"2,7",1229.0,"13,9",1114.0,352.0,598.0,76.0,1723.0,1247.0,19.7,73.7,1.6708,2004-10-31,October
5645,31/10/2004,23,"2,6",1187.0,"13,6",1105.0,321.0,611.0,68.0,1700.0,1183.0,19.9,72.6,1.6681,2004-10-31,October
5646,01/11/2004,0,"3,2",1353.0,"15,9",1176.0,318.0,584.0,69.0,1723.0,2150.0,20.1,71.3,1.6564,2004-11-01,November
5647,01/11/2004,1,"3,7",1407.0,"17,8",1235.0,338.0,548.0,77.0,1780.0,2519.0,20.1,71.1,1.6498,2004-11-01,November
5648,01/11/2004,2,"3,5",1333.0,"16,7",1201.0,353.0,552.0,68.0,1767.0,1925.0,19.6,73.2,1.6543,2004-11-01,November
5650,01/11/2004,4,-200,1253.0,"16,9",1206.0,291.0,540.0,52.0,1779.0,1579.0,18.4,77.9,1.6389,2004-11-01,November
5651,01/11/2004,5,"2,7",1212.0,"15,0",1149.0,279.0,562.0,49.0,1710.0,1599.0,18.4,78.1,1.637,2004-11-01,November
5652,01/11/2004,6,"1,8",1061.0,"9,6",962.0,200.0,679.0,45.0,1554.0,1395.0,19.2,74.7,1.6398,2004-11-01,November
5653,01/11/2004,7,"1,3",1028.0,"7,8",890.0,180.0,733.0,51.0,1525.0,1323.0,19.4,75.1,1.6766,2004-11-01,November
5654,01/11/2004,8,"1,5",1067.0,"8,7",928.0,213.0,711.0,51.0,1564.0,1309.0,19.1,75.6,1.6519,2004-11-01,November
5655,01/11/2004,9,"1,9",1111.0,"9,8",970.0,266.0,667.0,62.0,1594.0,1441.0,20.3,71.1,1.6803,2004-11-01,November
5656,01/11/2004,10,"2,2",1189.0,"12,4",1065.0,247.0,609.0,74.0,1683.0,1830.0,23.1,61.3,1.7131,2004-11-01,November
5657,01/11/2004,11,"2,6",1293.0,"13,9",1114.0,326.0,584.0,88.0,1702.0,1704.0,25.1,56.0,1.7565,2004-11-01,November
5658,01/11/2004,12,"2,7",1285.0,"12,5",1065.0,319.0,597.0,90.0,1686.0,1576.0,25.8,56.1,1.841,2004-11-01,November
5659,01/11/2004,13,"2,5",1236.0,"10,9",1011.0,320.0,631.0,91.0,1706.0,1305.0,23.7,68.2,1.9739,2004-11-01,November
5660,01/11/2004,14,"1,5",1082.0,"6,5",834.0,174.0,747.0,64.0,1562.0,991.0,23.1,70.8,1.98,2004-11-01,November
5661,01/11/2004,15,2,1188.0,"9,4",954.0,216.0,664.0,72.0,1636.0,1148.0,23.9,66.3,1.9361,2004-11-01,November
5662,01/11/2004,16,"3,1",1348.0,"15,3",1157.0,376.0,564.0,88.0,1810.0,1307.0,23.8,65.0,1.8897,2004-11-01,November
5663,01/11/2004,17,"3,7",1394.0,"16,4",1193.0,496.0,547.0,110.0,1811.0,1386.0,23.2,65.6,1.8435,2004-11-01,November
5664,01/11/2004,18,4,1472.0,"19,8",1290.0,523.0,510.0,95.0,1942.0,1420.0,21.8,72.7,1.8789,2004-11-01,November
5665,01/11/2004,19,"4,1",1291.0,"15,8",1174.0,465.0,567.0,91.0,1746.0,1341.0,21.7,67.3,1.7256,2004-11-01,November
5666,01/11/2004,20,"3,1",1264.0,"14,5",1133.0,407.0,593.0,94.0,1750.0,1258.0,21.3,66.3,1.6594,2004-11-01,November
5667,01/11/2004,21,"3,2",1264.0,"14,7",1138.0,412.0,579.0,86.0,1733.0,1245.0,20.4,71.6,1.7004,2004-11-01,November
5668,01/11/2004,22,"3,2",1260.0,"15,3",1160.0,403.0,568.0,79.0,1755.0,1231.0,19.6,75.3,1.6981,2004-11-01,November
5669,01/11/2004,23,"2,7",1184.0,"13,0",1084.0,357.0,612.0,71.0,1674.0,1151.0,19.3,75.8,1.6762,2004-11-01,November
5670,02/11/2004,0,"2,3",1122.0,"10,5",996.0,259.0,660.0,62.0,1586.0,1048.0,18.4,76.3,1.6017,2004-11-02,November
5671,02/11/2004,1,"1,6",983.0,"7,6",881.0,227.0,752.0,56.0,1472.0,928.0,18.2,76.4,1.5787,2004-11-02,November
5672,02/11/2004,2,"1,1",885.0,"4,8",753.0,147.0,878.0,49.0,1374.0,813.0,17.9,74.8,1.5219,2004-11-02,November
5674,02/11/2004,4,-200,791.0,"2,6",627.0,72.0,1069.0,38.0,1306.0,709.0,17.2,74.0,1.4388,2004-11-02,November
5675,02/11/2004,5,"0,6",802.0,"2,7",636.0,96.0,1016.0,35.0,1289.0,721.0,17.6,73.2,1.4555,2004-11-02,November
5676,02/11/2004,6,"0,5",804.0,"3,0",652.0,73.0,1054.0,37.0,1294.0,710.0,17.9,69.3,1.4099,2004-11-02,November
5677,02/11/2004,7,"1,5",1014.0,"8,7",927.0,309.0,747.0,56.0,1497.0,951.0,16.1,76.3,1.3902,2004-11-02,November
5678,02/11/2004,8,"3,4",1316.0,"20,7",1317.0,607.0,538.0,85.0,1860.0,1336.0,17.1,72.8,1.4054,2004-11-02,November
5679,02/11/2004,9,"4,4",1296.0,"25,2",1435.0,562.0,504.0,112.0,1899.0,1489.0,20.8,57.9,1.407,2004-11-02,November
5680,02/11/2004,10,"4,4",1381.0,"23,6",1394.0,560.0,495.0,107.0,1911.0,1558.0,20.6,60.2,1.4428,2004-11-02,November
5681,02/11/2004,11,"5,8",1570.0,"32,9",1617.0,844.0,426.0,151.0,2170.0,1944.0,22.1,56.6,1.4851,2004-11-02,November
5682,02/11/2004,12,"4,9",1426.0,"25,6",1445.0,667.0,477.0,151.0,1970.0,1782.0,24.0,50.0,1.4679,2004-11-02,November
5683,02/11/2004,13,"5,1",1535.0,"31,2",1578.0,583.0,440.0,150.0,2125.0,1921.0,25.7,45.6,1.487,2004-11-02,November
5684,02/11/2004,14,"7,5",1678.0,"37,9",1727.0,726.0,390.0,190.0,2318.0,2039.0,25.5,49.7,1.5985,2004-11-02,November
5685,02/11/2004,15,"5,8",1605.0,"32,3",1603.0,674.0,415.0,168.0,2199.0,1912.0,25.2,50.6,1.5989,2004-11-02,November
5686,02/11/2004,16,"5,9",1559.0,"31,5",1586.0,544.0,421.0,127.0,2197.0,1827.0,25.4,50.7,1.6187,2004-11-02,November
5687,02/11/2004,17,"6,8",1713.0,"38,0",1728.0,715.0,390.0,140.0,2386.0,1919.0,24.4,56.0,1.6885,2004-11-02,November
5688,02/11/2004,18,"7,9",1751.0,"44,1",1853.0,789.0,358.0,158.0,2496.0,2013.0,23.0,62.1,1.7283,2004-11-02,November
5689,02/11/2004,19,8,1723.0,"44,9",1869.0,737.0,359.0,121.0,2563.0,1919.0,21.8,65.3,1.6889,2004-11-02,November
5690,02/11/2004,20,"9,2",1778.0,"48,2",1935.0,859.0,349.0,119.0,2643.0,1927.0,20.9,67.5,1.6539,2004-11-02,November
5691,02/11/2004,21,"5,9",1461.0,"29,1",1529.0,668.0,450.0,96.0,2111.0,1573.0,20.2,68.6,1.6034,2004-11-02,November
5692,02/11/2004,22,"3,7",1258.0,"19,1",1272.0,454.0,541.0,77.0,1804.0,1325.0,19.3,70.8,1.5728,2004-11-02,November
5693,02/11/2004,23,"2,6",1138.0,"13,9",1113.0,337.0,610.0,66.0,1641.0,1203.0,19.2,68.8,1.5097,2004-11-02,November
5694,03/11/2004,0,"1,1",936.0,"6,8",849.0,127.0,798.0,56.0,1381.0,947.0,20.4,61.1,1.4495,2004-11-03,November
5695,03/11/2004,1,"2,6",1167.0,"13,2",1090.0,281.0,626.0,62.0,1620.0,1106.0,18.0,71.5,1.4615,2004-11-03,November
5696,03/11/2004,2,"2,2",1071.0,"10,7",1003.0,252.0,665.0,58.0,1542.0,1045.0,17.5,73.2,1.4515,2004-11-03,November
5698,03/11/2004,4,-200,836.0,"2,9",647.0,65.0,985.0,37.0,1271.0,777.0,16.4,74.4,1.3779,2004-11-03,November
5699,03/11/2004,5,"0,5",823.0,"2,7",630.0,69.0,1033.0,35.0,1253.0,748.0,16.8,71.9,1.3628,2004-11-03,November
5700,03/11/2004,6,"0,7",890.0,"4,3",727.0,151.0,917.0,50.0,1290.0,833.0,16.9,70.5,1.3504,2004-11-03,November
5701,03/11/2004,7,"1,3",1019.0,"8,0",901.0,231.0,750.0,64.0,1438.0,960.0,17.0,70.1,1.3512,2004-11-03,November
5702,03/11/2004,8,"2,2",1177.0,"15,5",1166.0,297.0,621.0,75.0,1667.0,1157.0,18.8,62.5,1.3401,2004-11-03,November
5703,03/11/2004,9,"3,7",1348.0,"23,8",1398.0,515.0,505.0,101.0,1847.0,1444.0,20.3,58.4,1.3745,2004-11-03,November
5704,03/11/2004,10,"3,7",1341.0,"21,0",1323.0,499.0,516.0,94.0,1786.0,1522.0,23.7,49.1,1.423,2004-11-03,November
5705,03/11/2004,11,"3,4",1307.0,"19,3",1278.0,445.0,527.0,95.0,1767.0,1452.0,26.6,42.8,1.4713,2004-11-03,November
5706,03/11/2004,12,"3,4",1305.0,"19,7",1287.0,464.0,525.0,124.0,1771.0,1437.0,26.2,43.5,1.4591,2004-11-03,November
5707,03/11/2004,13,"2,6",1177.0,"13,2",1090.0,298.0,612.0,86.0,1632.0,1209.0,26.3,43.6,1.4663,2004-11-03,November
5708,03/11/2004,14,"2,5",1192.0,"13,0",1085.0,266.0,617.0,79.0,1638.0,1170.0,26.6,42.5,1.4568,2004-11-03,November
5709,03/11/2004,15,"2,5",1214.0,"12,9",1080.0,323.0,611.0,87.0,1642.0,1190.0,26.3,43.7,1.4718,2004-11-03,November
5710,03/11/2004,16,"2,7",1240.0,"15,1",1152.0,352.0,575.0,94.0,1699.0,1278.0,25.6,46.2,1.4903,2004-11-03,November
5711,03/11/2004,17,"3,2",1271.0,"16,3",1188.0,372.0,563.0,107.0,1703.0,1305.0,25.1,47.6,1.4983,2004-11-03,November
5712,03/11/2004,18,"3,7",1333.0,"20,5",1312.0,383.0,520.0,107.0,1853.0,1364.0,23.8,51.4,1.4956,2004-11-03,November
5713,03/11/2004,19,"4,6",1390.0,"24,4",1414.0,455.0,487.0,117.0,1959.0,1428.0,23.3,53.1,1.496,2004-11-03,November
5714,03/11/2004,20,"3,3",1266.0,"18,7",1261.0,355.0,541.0,97.0,1807.0,1285.0,22.4,55.2,1.4735,2004-11-03,November
5715,03/11/2004,21,"2,4",1140.0,"12,7",1072.0,267.0,626.0,90.0,1597.0,1143.0,21.7,57.7,1.4766,2004-11-03,November
5716,03/11/2004,22,"2,8",1240.0,"15,6",1168.0,308.0,582.0,86.0,1714.0,1235.0,20.5,63.0,1.5043,2004-11-03,November
5717,03/11/2004,23,"2,7",1187.0,"14,2",1122.0,313.0,589.0,77.0,1641.0,1208.0,19.5,67.6,1.5156,2004-11-03,November
5718,04/11/2004,0,"1,8",1043.0,"9,9",975.0,216.0,675.0,66.0,1489.0,1041.0,18.7,69.0,1.4727,2004-11-04,November
5719,04/11/2004,1,"1,1",948.0,"6,3",826.0,137.0,802.0,57.0,1382.0,897.0,19.3,65.5,1.45,2004-11-04,November
5720,04/11/2004,2,"1,2",955.0,"5,2",775.0,140.0,831.0,55.0,1362.0,862.0,17.6,70.8,1.4105,2004-11-04,November
5722,04/11/2004,4,"0,6",832.0,"2,9",644.0,94.0,990.0,40.0,1239.0,747.0,17.8,68.1,1.3722,2004-11-04,November
5723,04/11/2004,5,"0,5",846.0,"2,6",628.0,79.0,1025.0,40.0,1218.0,727.0,16.1,73.5,1.3329,2004-11-04,November
5724,04/11/2004,6,"0,7",897.0,"4,7",750.0,156.0,874.0,46.0,1270.0,799.0,15.8,73.5,1.3151,2004-11-04,November
5725,04/11/2004,7,"0,8",908.0,"5,1",767.0,153.0,868.0,53.0,1272.0,807.0,17.0,68.0,1.3102,2004-11-04,November
5726,04/11/2004,8,"3,5",1348.0,"22,2",1357.0,464.0,526.0,84.0,1833.0,1324.0,16.0,72.2,1.3077,2004-11-04,November
5727,04/11/2004,9,"3,6",1384.0,"23,3",1386.0,435.0,504.0,88.0,1833.0,1404.0,17.8,65.4,1.3213,2004-11-04,November
5728,04/11/2004,10,-200,1473.0,"26,3",1463.0,683.0,462.0,143.0,1948.0,1605.0,20.6,56.0,1.3467,2004-11-04,November
5729,04/11/2004,11,-200,1360.0,"19,7",1287.0,523.0,517.0,130.0,1755.0,1478.0,23.6,48.0,1.3757,2004-11-04,November
5730,04/11/2004,12,-200,1305.0,"17,4",1223.0,460.0,545.0,120.0,1720.0,1414.0,23.7,49.8,1.4433,2004-11-04,November
5731,04/11/2004,13,-200,1337.0,"20,2",1302.0,417.0,507.0,139.0,1786.0,1465.0,24.7,47.4,1.4527,2004-11-04,November
5732,04/11/2004,14,-200,1414.0,"24,4",1414.0,486.0,478.0,139.0,1896.0,1588.0,25.9,42.8,1.4122,2004-11-04,November
5733,04/11/2004,15,-200,1463.0,"24,5",1417.0,512.0,467.0,156.0,1900.0,1651.0,26.8,43.3,1.4977,2004-11-04,November
5734,04/11/2004,16,-200,1530.0,"24,8",1425.0,595.0,457.0,143.0,1975.0,1652.0,26.6,45.5,1.5555,2004-11-04,November
5735,04/11/2004,17,-200,1915.0,"45,9",1889.0,1052.0,340.0,186.0,2603.0,2110.0,24.8,53.9,1.6683,2004-11-04,November
5736,04/11/2004,18,"8,7",1882.0,"47,5",1920.0,1014.0,328.0,171.0,2609.0,2204.0,23.1,61.1,1.7082,2004-11-04,November
5737,04/11/2004,19,"5,8",1589.0,"33,0",1619.0,633.0,406.0,124.0,2216.0,1780.0,22.2,63.7,1.6865,2004-11-04,November
5738,04/11/2004,20,"4,3",1463.0,"27,2",1484.0,485.0,443.0,97.0,2011.0,1590.0,21.1,66.1,1.6313,2004-11-04,November
5739,04/11/2004,21,"3,6",1380.0,"21,8",1345.0,480.0,493.0,92.0,1856.0,1419.0,20.0,69.0,1.5956,2004-11-04,November
5740,04/11/2004,22,"3,9",1383.0,"21,3",1332.0,572.0,495.0,96.0,1855.0,1415.0,19.1,72.0,1.5732,2004-11-04,November
5741,04/11/2004,23,"2,4",1181.0,"13,3",1094.0,345.0,600.0,74.0,1599.0,1180.0,18.8,70.6,1.5209,2004-11-04,November
5742,05/11/2004,0,"1,6",1061.0,"8,8",931.0,195.0,699.0,65.0,1481.0,1015.0,18.5,69.5,1.4657,2004-11-05,November
5743,05/11/2004,1,"1,8",1091.0,"9,2",945.0,213.0,698.0,62.0,1467.0,1014.0,18.4,68.5,1.439,2004-11-05,November
5744,05/11/2004,2,"1,5",1010.0,"7,6",884.0,216.0,719.0,59.0,1430.0,938.0,16.8,73.3,1.3915,2004-11-05,November
5746,05/11/2004,4,"0,5",852.0,"2,8",639.0,73.0,1009.0,41.0,1204.0,723.0,16.5,71.0,1.3239,2004-11-05,November
5747,05/11/2004,5,"0,4",826.0,"2,2",601.0,67.0,1056.0,38.0,1180.0,702.0,16.9,67.9,1.295,2004-11-05,November
5748,05/11/2004,6,"0,5",862.0,"3,4",677.0,96.0,973.0,43.0,1192.0,725.0,16.1,69.3,1.2591,2004-11-05,November
5749,05/11/2004,7,"0,8",951.0,"5,7",800.0,162.0,803.0,52.0,1257.0,836.0,16.1,69.6,1.2593,2004-11-05,November
5750,05/11/2004,8,2,1210.0,"16,3",1188.0,305.0,583.0,75.0,1575.0,1129.0,16.2,70.1,1.2837,2004-11-05,November
5751,05/11/2004,9,"6,2",1601.0,"37,9",1727.0,725.0,389.0,118.0,2252.0,1718.0,16.5,69.3,1.2897,2004-11-05,November
5752,05/11/2004,10,"4,5",1477.0,"25,5",1443.0,658.0,469.0,126.0,1878.0,1646.0,19.6,58.3,1.3141,2004-11-05,November
5753,05/11/2004,11,"4,6",1458.0,"24,2",1408.0,710.0,471.0,151.0,1889.0,1664.0,20.7,55.5,1.3414,2004-11-05,November
5754,05/11/2004,12,"3,3",1354.0,"20,9",1321.0,445.0,504.0,107.0,1799.0,1496.0,20.8,56.3,1.3664,2004-11-05,November
5755,05/11/2004,13,"3,6",1385.0,"22,1",1354.0,455.0,490.0,114.0,1823.0,1506.0,21.7,53.1,1.3649,2004-11-05,November
5756,05/11/2004,14,"4,4",1460.0,"25,0",1430.0,524.0,466.0,125.0,1932.0,1604.0,23.0,49.0,1.362,2004-11-05,November
5757,05/11/2004,15,"4,3",1492.0,"26,4",1463.0,527.0,460.0,138.0,1935.0,1632.0,24.2,44.0,1.3078,2004-11-05,November
5758,05/11/2004,16,5,1569.0,"29,8",1547.0,601.0,435.0,144.0,2016.0,1736.0,24.7,43.6,1.3396,2004-11-05,November
5759,05/11/2004,17,"8,1",1870.0,"45,0",1871.0,1001.0,351.0,180.0,2483.0,2165.0,23.0,54.2,1.5066,2004-11-05,November
5760,05/11/2004,18,8,1774.0,"42,8",1829.0,852.0,359.0,154.0,2457.0,2152.0,21.4,60.9,1.5322,2004-11-05,November
5761,05/11/2004,19,"3,6",1388.0,"22,4",1363.0,370.0,485.0,105.0,1815.0,1556.0,20.3,61.4,1.4417,2004-11-05,November
5762,05/11/2004,20,"2,9",1303.0,"15,9",1177.0,348.0,562.0,98.0,1619.0,1389.0,20.0,63.2,1.4581,2004-11-05,November
5763,05/11/2004,21,"2,7",1257.0,"14,3",1126.0,361.0,581.0,93.0,1599.0,1300.0,19.1,64.4,1.405,2004-11-05,November
5764,05/11/2004,22,"1,9",1132.0,"10,7",1002.0,255.0,640.0,76.0,1474.0,1126.0,18.1,67.5,1.3855,2004-11-05,November
5765,05/11/2004,23,"1,3",1050.0,"7,6",881.0,162.0,732.0,69.0,1363.0,982.0,17.8,66.9,1.3464,2004-11-05,November
5766,06/11/2004,0,"1,2",1033.0,"6,7",842.0,166.0,756.0,66.0,1362.0,941.0,17.6,66.5,1.3249,2004-11-06,November
5767,06/11/2004,1,"1,8",1106.0,"9,0",938.0,247.0,685.0,76.0,1395.0,1010.0,16.1,71.2,1.2948,2004-11-06,November
5768,06/11/2004,2,"1,9",1107.0,"9,0",940.0,255.0,689.0,73.0,1403.0,985.0,15.5,73.3,1.2845,2004-11-06,November
5770,06/11/2004,4,"0,9",916.0,"4,3",726.0,129.0,879.0,54.0,1248.0,791.0,15.6,70.8,1.2461,2004-11-06,November
5771,06/11/2004,5,"0,5",852.0,"2,8",641.0,83.0,1012.0,44.0,1172.0,710.0,17.0,64.5,1.2374,2004-11-06,November
5772,06/11/2004,6,"0,6",889.0,"3,7",694.0,114.0,913.0,45.0,1198.0,743.0,14.9,72.3,1.2186,2004-11-06,November
5773,06/11/2004,7,"1,1",1002.0,"6,3",828.0,233.0,798.0,58.0,1307.0,857.0,14.0,76.6,1.2183,2004-11-06,November
5774,06/11/2004,8,"2,8",1231.0,"14,5",1134.0,448.0,587.0,87.0,1572.0,1143.0,14.6,74.2,1.2256,2004-11-06,November
5775,06/11/2004,9,"2,9",1212.0,"16,4",1191.0,455.0,551.0,97.0,1586.0,1210.0,15.9,69.8,1.253,2004-11-06,November
5776,06/11/2004,10,"1,7",1121.0,"10,9",1012.0,254.0,650.0,80.0,1436.0,1060.0,18.4,61.3,1.2854,2004-11-06,November
5777,06/11/2004,11,"2,3",1260.0,"14,1",1121.0,313.0,568.0,82.0,1569.0,1252.0,20.0,56.7,1.3078,2004-11-06,November
5778,06/11/2004,12,"3,3",1391.0,"17,1",1214.0,490.0,518.0,112.0,1691.0,1435.0,20.4,57.0,1.3507,2004-11-06,November
5779,06/11/2004,13,"3,5",1463.0,"19,4",1280.0,496.0,482.0,121.0,1794.0,1544.0,20.7,59.3,1.4283,2004-11-06,November
5780,06/11/2004,14,"3,8",1464.0,"20,9",1321.0,514.0,475.0,132.0,1794.0,1600.0,21.7,54.8,1.4024,2004-11-06,November
5781,06/11/2004,15,"3,4",1412.0,"17,7",1230.0,454.0,516.0,141.0,1672.0,1534.0,22.0,54.2,1.4096,2004-11-06,November
5782,06/11/2004,16,"3,8",1450.0,"19,8",1292.0,507.0,495.0,130.0,1768.0,1495.0,21.4,57.1,1.4356,2004-11-06,November
5783,06/11/2004,17,"3,6",1416.0,"19,5",1283.0,474.0,510.0,113.0,1739.0,1442.0,20.8,58.7,1.4259,2004-11-06,November
5784,06/11/2004,18,"3,5",1346.0,"17,0",1211.0,404.0,540.0,101.0,1674.0,1340.0,20.1,59.6,1.3852,2004-11-06,November
5785,06/11/2004,19,"2,8",1273.0,"14,6",1137.0,356.0,586.0,91.0,1563.0,1231.0,20.0,58.4,1.3473,2004-11-06,November
5786,06/11/2004,20,"2,5",1206.0,"12,0",1049.0,345.0,634.0,90.0,1484.0,1128.0,19.5,58.9,1.3195,2004-11-06,November
5787,06/11/2004,21,"3,1",1252.0,"13,3",1094.0,395.0,615.0,90.0,1526.0,1188.0,19.5,57.4,1.2874,2004-11-06,November
5788,06/11/2004,22,"1,8",1069.0,"7,9",897.0,249.0,729.0,83.0,1364.0,998.0,19.1,59.2,1.295,2004-11-06,November
5789,06/11/2004,23,"1,6",1061.0,"7,9",895.0,197.0,737.0,73.0,1359.0,944.0,18.8,59.1,1.2702,2004-11-06,November
5790,07/11/2004,0,"1,9",1072.0,"7,5",880.0,224.0,767.0,80.0,1318.0,928.0,18.0,60.4,1.2331,2004-11-07,November
5791,07/11/2004,1,2,1075.0,"8,4",917.0,231.0,737.0,87.0,1354.0,1037.0,17.5,60.7,1.2009,2004-11-07,November
5792,07/11/2004,2,"1,4",992.0,"6,9",853.0,177.0,796.0,79.0,1305.0,930.0,17.5,59.4,1.1768,2004-11-07,November
5794,07/11/2004,4,-200,854.0,"3,8",700.0,98.0,980.0,56.0,1151.0,665.0,17.0,52.3,1.0009,2004-11-07,November
5795,07/11/2004,5,"0,7",774.0,"2,1",591.0,64.0,1151.0,42.0,1044.0,533.0,16.1,49.8,0.9021,2004-11-07,November
5796,07/11/2004,6,"0,4",757.0,"1,5",542.0,44.0,1339.0,31.0,1004.0,449.0,15.5,51.5,0.9026,2004-11-07,November
5797,07/11/2004,7,"0,4",752.0,"1,2",516.0,53.0,1370.0,35.0,997.0,440.0,15.1,52.0,0.8878,2004-11-07,November
5798,07/11/2004,8,"0,5",757.0,"1,6",551.0,94.0,1295.0,51.0,967.0,453.0,14.9,46.8,0.7885,2004-11-07,November
5799,07/11/2004,9,"0,7",777.0,"1,9",580.0,100.0,1263.0,58.0,963.0,465.0,15.5,42.4,0.74,2004-11-07,November
5800,07/11/2004,10,"0,7",774.0,"2,0",583.0,98.0,1246.0,57.0,966.0,457.0,16.6,38.2,0.7186,2004-11-07,November
5801,07/11/2004,11,"0,7",805.0,"2,7",632.0,115.0,1176.0,63.0,1033.0,475.0,18.0,34.7,0.7089,2004-11-07,November
5802,07/11/2004,12,1,838.0,"3,6",686.0,115.0,1083.0,61.0,1046.0,532.0,18.0,35.1,0.7176,2004-11-07,November
5803,07/11/2004,13,1,824.0,"3,7",695.0,76.0,1091.0,34.0,1035.0,526.0,17.6,33.8,0.6726,2004-11-07,November
5804,07/11/2004,14,"0,9",812.0,"3,9",704.0,55.0,1055.0,26.0,1044.0,520.0,17.5,33.7,0.6691,2004-11-07,November
5805,07/11/2004,15,"0,9",806.0,"3,8",702.0,59.0,1052.0,28.0,1035.0,500.0,17.2,33.9,0.6591,2004-11-07,November
5806,07/11/2004,16,"0,9",789.0,"3,4",675.0,95.0,1121.0,50.0,974.0,482.0,16.8,32.1,0.6073,2004-11-07,November
5807,07/11/2004,17,"1,1",821.0,"4,0",713.0,107.0,1067.0,55.0,1030.0,539.0,16.0,34.1,0.6155,2004-11-07,November
5808,07/11/2004,18,"3,2",1024.0,"14,3",1127.0,189.0,704.0,84.0,1346.0,943.0,14.8,37.5,0.6259,2004-11-07,November
5809,07/11/2004,19,"3,1",1009.0,"10,5",995.0,386.0,784.0,140.0,1201.0,1016.0,14.4,39.2,0.6407,2004-11-07,November
5810,07/11/2004,20,"3,1",1064.0,"12,2",1055.0,412.0,738.0,138.0,1242.0,1063.0,14.1,43.0,0.6883,2004-11-07,November
5811,07/11/2004,21,"2,3",1001.0,"11,4",1029.0,342.0,733.0,127.0,1255.0,1034.0,13.4,48.4,0.7397,2004-11-07,November
5812,07/11/2004,22,"1,8",927.0,"7,3",868.0,255.0,847.0,117.0,1155.0,864.0,12.7,51.2,0.7505,2004-11-07,November
5813,07/11/2004,23,"0,8",819.0,"2,4",613.0,89.0,1118.0,57.0,1060.0,500.0,9.9,71.4,0.8736,2004-11-07,November
5814,08/11/2004,0,"0,9",847.0,"2,7",630.0,106.0,1057.0,59.0,1091.0,537.0,10.2,71.6,0.8893,2004-11-08,November
5815,08/11/2004,1,"0,8",798.0,"2,5",621.0,109.0,1115.0,62.0,1041.0,524.0,10.6,61.3,0.7856,2004-11-08,November
5816,08/11/2004,2,"0,7",757.0,"1,7",561.0,67.0,1192.0,42.0,998.0,457.0,11.1,55.6,0.7344,2004-11-08,November
5818,08/11/2004,4,"0,2",689.0,"0,3",407.0,13.0,1757.0,13.0,895.0,333.0,11.3,49.5,0.6615,2004-11-08,November
5819,08/11/2004,5,"0,2",698.0,"0,4",424.0,20.0,1665.0,18.0,903.0,339.0,10.8,50.9,0.657,2004-11-08,November
5820,08/11/2004,6,"0,3",720.0,"0,6",458.0,33.0,1536.0,26.0,917.0,358.0,10.9,50.1,0.6519,2004-11-08,November
