,T,RH,AH,Value,Type
7249,14.0,60.1,0.9566,578.0,Tungsten Oxide(NOx)
7250,13.5,63.0,0.9686,591.0,Tungsten Oxide(NOx)
7251,12.6,65.4,0.9529,666.0,Tungsten Oxide(NOx)
7252,12.0,67.5,0.9413,694.0,Tungsten Oxide(NOx)
7253,10.5,72.0,0.912,736.0,Tungsten Oxide(NOx)
7254,10.0,70.9,0.8706,819.0,Tungsten Oxide(NOx)
7255,9.8,70.7,0.8571,867.0,Tungsten Oxide(NOx)
7256,8.0,75.0,0.8098,881.0,Tungsten Oxide(NOx)
7258,7.0,77.3,0.7782,944.0,Tungsten Oxide(NOx)
7259,7.2,74.4,0.7581,1110.0,Tungsten Oxide(NOx)
7260,6.7,75.0,0.7418,1049.0,Tungsten Oxide(NOx)
7261,6.4,76.3,0.7389,973.0,Tungsten Oxide(NOx)
7262,6.0,78.5,0.7377,719.0,Tungsten Oxide(NOx)
7263,6.3,77.4,0.7452,552.0,Tungsten Oxide(NOx)
7264,7.7,73.8,0.7769,659.0,Tungsten Oxide(NOx)
7265,10.2,61.5,0.7638,632.0,Tungsten Oxide(NOx)
7266,11.3,58.1,0.7743,605.0,Tungsten Oxide(NOx)
7267,10.6,62.3,0.7981,590.0,Tungsten Oxide(NOx)
7268,11.1,62.0,0.8199,563.0,Tungsten Oxide(NOx)
7269,12.6,57.7,0.8387,536.0,Tungsten Oxide(NOx)
7270,13.3,56.2,0.8548,509.0,Tungsten Oxide(NOx)
7271,11.2,65.3,0.8639,499.0,Tungsten Oxide(NOx)
7272,8.8,74.6,0.8434,466.0,Tungsten Oxide(NOx)
7273,7.2,78.5,0.803,473.0,Tungsten Oxide(NOx)
7274,6.5,80.0,0.7789,487.0,Tungsten Oxide(NOx)
7275,5.8,83.8,0.7768,523.0,Tungsten Oxide(NOx)
7276,5.5,83.5,0.7619,557.0,Tungsten Oxide(NOx)
7277,5.8,81.3,0.7568,623.0,Tungsten Oxide(NOx)
7278,5.4,82.6,0.7495,589.0,Tungsten Oxide(NOx)
7279,6.4,76.3,0.7369,762.0,Tungsten Oxide(NOx)
7280,7.0,73.6,0.7417,863.0,Tungsten Oxide(NOx)
7282,7.9,69.3,0.7413,926.0,Tungsten Oxide(NOx)
7283,7.4,71.7,0.7434,903.0,Tungsten Oxide(NOx)
7284,7.7,71.9,0.7575,878.0,Tungsten Oxide(NOx)
7285,8.1,68.0,0.7396,854.0,Tungsten Oxide(NOx)
7286,6.7,77.1,0.7597,638.0,Tungsten Oxide(NOx)
7287,6.8,77.9,0.7756,542.0,Tungsten Oxide(NOx)
7288,8.9,66.7,0.7634,604.0,Tungsten Oxide(NOx)
7289,11.6,54.1,0.7387,632.0,Tungsten Oxide(NOx)
7290,13.5,49.4,0.7598,605.0,Tungsten Oxide(NOx)
7291,13.8,50.9,0.796,567.0,Tungsten Oxide(NOx)
7292,13.4,55.9,0.8588,530.0,Tungsten Oxide(NOx)
7293,12.9,59.0,0.8736,555.0,Tungsten Oxide(NOx)
7294,13.3,59.0,0.8945,482.0,Tungsten Oxide(NOx)
7295,13.0,61.9,0.9224,484.0,Tungsten Oxide(NOx)
7296,12.5,63.6,0.9193,498.0,Tungsten Oxide(NOx)
7297,12.2,65.8,0.931,497.0,Tungsten Oxide(NOx)
7298,12.6,65.2,0.9474,442.0,Tungsten Oxide(NOx)
7299,13.3,63.6,0.9681,553.0,Tungsten Oxide(NOx)
7300,13.5,62.6,0.9644,647.0,Tungsten Oxide(NOx)
7301,14.1,59.6,0.9563,764.0,Tungsten Oxide(NOx)
7302,14.0,61.4,0.9773,750.0,Tungsten Oxide(NOx)
7303,13.5,63.4,0.9755,771.0,Tungsten Oxide(NOx)
7304,13.2,64.2,0.9706,764.0,Tungsten Oxide(NOx)
7306,13.7,61.1,0.9537,976.0,Tungsten Oxide(NOx)
7307,13.5,63.8,0.9801,1017.0,Tungsten Oxide(NOx)
7308,12.5,67.3,0.9743,1035.0,Tungsten Oxide(NOx)
7309,13.2,64.2,0.9664,1063.0,Tungsten Oxide(NOx)
7310,13.1,63.4,0.9535,977.0,Tungsten Oxide(NOx)
7311,13.8,60.5,0.9526,980.0,Tungsten Oxide(NOx)
7312,13.7,60.4,0.939,846.0,Tungsten Oxide(NOx)
7313,14.0,59.7,0.9495,698.0,Tungsten Oxide(NOx)
7314,15.0,56.2,0.9539,626.0,Tungsten Oxide(NOx)
7315,16.9,50.9,0.9714,628.0,Tungsten Oxide(NOx)
7316,16.6,52.4,0.981,557.0,Tungsten Oxide(NOx)
7317,16.4,53.2,0.9826,476.0,Tungsten Oxide(NOx)
7318,16.1,52.8,0.9579,648.0,Tungsten Oxide(NOx)
7319,15.7,54.4,0.9616,648.0,Tungsten Oxide(NOx)
7320,15.4,55.3,0.9616,548.0,Tungsten Oxide(NOx)
7321,15.2,54.7,0.9362,641.0,Tungsten Oxide(NOx)
7322,14.7,56.6,0.9392,588.0,Tungsten Oxide(NOx)
7323,14.4,58.2,0.9495,625.0,Tungsten Oxide(NOx)
7324,14.3,59.2,0.9608,734.0,Tungsten Oxide(NOx)
7325,14.0,60.4,0.9622,680.0,Tungsten Oxide(NOx)
7326,13.7,63.6,0.9912,672.0,Tungsten Oxide(NOx)
7327,13.1,68.7,1.0329,666.0,Tungsten Oxide(NOx)
7328,13.2,69.9,1.0526,807.0,Tungsten Oxide(NOx)
7330,12.9,70.4,1.0444,1059.0,Tungsten Oxide(NOx)
7331,12.4,72.5,1.0411,998.0,Tungsten Oxide(NOx)
7332,13.0,70.3,1.0502,900.0,Tungsten Oxide(NOx)
7333,12.3,73.3,1.0448,685.0,Tungsten Oxide(NOx)
7334,12.8,71.8,1.0551,451.0,Tungsten Oxide(NOx)
7335,13.1,70.2,1.0567,433.0,Tungsten Oxide(NOx)
7336,12.8,71.8,1.0551,488.0,Tungsten Oxide(NOx)
7337,13.1,70.3,1.0566,484.0,Tungsten Oxide(NOx)
7338,13.7,67.0,1.0446,512.0,Tungsten Oxide(NOx)
7339,14.0,65.4,1.0427,452.0,Tungsten Oxide(NOx)
7340,14.4,63.8,1.0421,459.0,Tungsten Oxide(NOx)
7341,14.1,65.9,1.0531,456.0,Tungsten Oxide(NOx)
7342,14.1,65.9,1.0552,475.0,Tungsten Oxide(NOx)
7343,14.1,66.0,1.0539,484.0,Tungsten Oxide(NOx)
7344,14.0,66.4,1.0536,489.0,Tungsten Oxide(NOx)
7345,13.8,66.4,1.0451,492.0,Tungsten Oxide(NOx)
7346,13.4,68.1,1.0441,478.0,Tungsten Oxide(NOx)
7347,13.2,69.1,1.0452,503.0,Tungsten Oxide(NOx)
7348,13.0,70.0,1.042,545.0,Tungsten Oxide(NOx)
7349,12.7,69.9,1.0223,660.0,Tungsten Oxide(NOx)
7350,12.0,71.9,1.0071,647.0,Tungsten Oxide(NOx)
7351,13.2,66.8,1.0087,744.0,Tungsten Oxide(NOx)
7352,12.4,69.5,0.9986,816.0,Tungsten Oxide(NOx)
7354,11.8,70.6,0.9731,899.0,Tungsten Oxide(NOx)
7355,12.3,68.0,0.9734,908.0,Tungsten Oxide(NOx)
7356,12.0,69.2,0.9697,863.0,Tungsten Oxide(NOx)
7357,11.7,69.8,0.9612,760.0,Tungsten Oxide(NOx)
7358,12.1,67.6,0.95,502.0,Tungsten Oxide(NOx)
7359,12.5,65.1,0.9399,415.0,Tungsten Oxide(NOx)
7360,12.8,62.5,0.9213,518.0,Tungsten Oxide(NOx)
7361,13.4,59.9,0.9143,519.0,Tungsten Oxide(NOx)
7362,13.4,57.9,0.8895,499.0,Tungsten Oxide(NOx)
7363,13.6,56.4,0.8754,507.0,Tungsten Oxide(NOx)
7364,13.8,56.3,0.8841,479.0,Tungsten Oxide(NOx)
7365,13.7,57.9,0.9063,483.0,Tungsten Oxide(NOx)
7366,13.6,58.9,0.9139,451.0,Tungsten Oxide(NOx)
7367,13.4,59.7,0.9142,479.0,Tungsten Oxide(NOx)
7368,13.3,61.2,0.933,459.0,Tungsten Oxide(NOx)
7369,13.2,61.8,0.9313,465.0,Tungsten Oxide(NOx)
7370,12.9,61.5,0.9139,418.0,Tungsten Oxide(NOx)
7371,12.6,63.9,0.9307,470.0,Tungsten Oxide(NOx)
7372,12.0,67.4,0.9417,486.0,Tungsten Oxide(NOx)
7373,11.9,69.0,0.9568,479.0,Tungsten Oxide(NOx)
7374,12.0,66.6,0.9293,602.0,Tungsten Oxide(NOx)
7375,11.4,69.6,0.9373,564.0,Tungsten Oxide(NOx)
7376,11.2,70.3,0.9323,626.0,Tungsten Oxide(NOx)
7378,10.7,71.3,0.9161,807.0,Tungsten Oxide(NOx)
7379,10.0,74.8,0.9161,800.0,Tungsten Oxide(NOx)
7380,9.2,78.5,0.9143,676.0,Tungsten Oxide(NOx)
7381,8.8,79.4,0.9033,634.0,Tungsten Oxide(NOx)
7382,8.7,79.4,0.8944,470.0,Tungsten Oxide(NOx)
7383,8.9,76.5,0.8767,434.0,Tungsten Oxide(NOx)
7384,9.9,73.3,0.8936,452.0,Tungsten Oxide(NOx)
7385,11.8,65.5,0.901,497.0,Tungsten Oxide(NOx)
7386,13.0,60.9,0.9061,497.0,Tungsten Oxide(NOx)
7387,14.7,52.3,0.8687,505.0,Tungsten Oxide(NOx)
7388,15.1,49.6,0.8428,546.0,Tungsten Oxide(NOx)
7389,15.7,48.8,0.8657,507.0,Tungsten Oxide(NOx)
7390,15.8,48.9,0.8707,522.0,Tungsten Oxide(NOx)
7391,14.6,54.0,0.8946,521.0,Tungsten Oxide(NOx)
7392,14.3,56.3,0.9119,440.0,Tungsten Oxide(NOx)
7393,14.1,57.8,0.9262,421.0,Tungsten Oxide(NOx)
7394,13.1,62.9,0.943,428.0,Tungsten Oxide(NOx)
7395,12.0,67.5,0.9467,457.0,Tungsten Oxide(NOx)
7396,10.7,70.9,0.9113,534.0,Tungsten Oxide(NOx)
7397,10.0,73.2,0.8988,605.0,Tungsten Oxide(NOx)
7398,9.4,75.0,0.8874,599.0,Tungsten Oxide(NOx)
7399,8.5,76.9,0.8557,629.0,Tungsten Oxide(NOx)
7400,8.4,75.9,0.8407,746.0,Tungsten Oxide(NOx)
7402,6.2,82.1,0.7825,883.0,Tungsten Oxide(NOx)
7403,7.0,77.3,0.7759,931.0,Tungsten Oxide(NOx)
7404,6.5,79.7,0.7751,915.0,Tungsten Oxide(NOx)
7405,7.7,76.8,0.8112,715.0,Tungsten Oxide(NOx)
7406,8.2,74.9,0.8184,531.0,Tungsten Oxide(NOx)
7407,8.8,73.2,0.8298,452.0,Tungsten Oxide(NOx)
7408,9.7,70.1,0.8432,532.0,Tungsten Oxide(NOx)
7409,11.7,62.7,0.8586,524.0,Tungsten Oxide(NOx)
7410,13.1,58.5,0.877,583.0,Tungsten Oxide(NOx)
7411,14.2,54.1,0.8707,626.0,Tungsten Oxide(NOx)
7412,14.2,54.3,0.8757,570.0,Tungsten Oxide(NOx)
7413,14.0,56.3,0.894,564.0,Tungsten Oxide(NOx)
7414,13.5,57.8,0.8933,531.0,Tungsten Oxide(NOx)
7415,12.3,63.0,0.9015,470.0,Tungsten Oxide(NOx)
7416,11.4,68.0,0.9166,414.0,Tungsten Oxide(NOx)
7417,10.8,69.5,0.8995,475.0,Tungsten Oxide(NOx)
7418,11.0,67.1,0.8766,581.0,Tungsten Oxide(NOx)
7419,9.5,71.3,0.8458,571.0,Tungsten Oxide(NOx)
7420,8.8,71.0,0.8089,690.0,Tungsten Oxide(NOx)
7421,8.0,73.4,0.7899,686.0,Tungsten Oxide(NOx)
7422,7.6,73.0,0.7629,669.0,Tungsten Oxide(NOx)
7423,7.1,73.9,0.7515,744.0,Tungsten Oxide(NOx)
7424,7.1,73.5,0.7439,809.0,Tungsten Oxide(NOx)
7426,5.1,81.3,0.7204,866.0,Tungsten Oxide(NOx)
7427,4.3,82.9,0.6968,687.0,Tungsten Oxide(NOx)
7428,5.3,80.4,0.7234,793.0,Tungsten Oxide(NOx)
7429,5.7,79.3,0.7326,732.0,Tungsten Oxide(NOx)
7430,6.8,74.8,0.7423,459.0,Tungsten Oxide(NOx)
7431,6.9,75.2,0.7505,513.0,Tungsten Oxide(NOx)
7432,8.0,71.9,0.7712,515.0,Tungsten Oxide(NOx)
7433,9.3,67.1,0.7849,527.0,Tungsten Oxide(NOx)
7434,10.2,63.6,0.7928,567.0,Tungsten Oxide(NOx)
7435,11.0,60.9,0.7966,526.0,Tungsten Oxide(NOx)
7436,11.3,60.1,0.8022,569.0,Tungsten Oxide(NOx)
7437,12.2,56.9,0.8068,566.0,Tungsten Oxide(NOx)
7438,11.9,59.1,0.8211,535.0,Tungsten Oxide(NOx)
7439,10.3,66.3,0.8286,450.0,Tungsten Oxide(NOx)
7440,8.2,74.9,0.8187,428.0,Tungsten Oxide(NOx)
7441,7.9,77.1,0.8223,435.0,Tungsten Oxide(NOx)
7442,8.3,75.0,0.8253,435.0,Tungsten Oxide(NOx)
7443,8.2,75.2,0.8185,513.0,Tungsten Oxide(NOx)
7444,8.3,69.7,0.7632,782.0,Tungsten Oxide(NOx)
7445,6.7,74.4,0.7344,780.0,Tungsten Oxide(NOx)
7446,6.4,74.9,0.7238,735.0,Tungsten Oxide(NOx)
7447,4.9,80.1,0.7011,737.0,Tungsten Oxide(NOx)
7448,4.8,79.4,0.6872,778.0,Tungsten Oxide(NOx)
7450,2.4,86.6,0.6369,834.0,Tungsten Oxide(NOx)
7451,3.4,81.4,0.6425,940.0,Tungsten Oxide(NOx)
7452,4.2,77.0,0.6439,1013.0,Tungsten Oxide(NOx)
7453,3.5,80.8,0.6406,902.0,Tungsten Oxide(NOx)
7454,3.5,80.3,0.6366,703.0,Tungsten Oxide(NOx)
7455,4.0,78.5,0.645,650.0,Tungsten Oxide(NOx)
7456,4.5,76.6,0.6534,653.0,Tungsten Oxide(NOx)
7457,5.6,72.3,0.6627,673.0,Tungsten Oxide(NOx)
7458,7.5,64.4,0.672,633.0,Tungsten Oxide(NOx)
7459,8.9,60.8,0.6921,567.0,Tungsten Oxide(NOx)
7460,10.6,55.3,0.7058,536.0,Tungsten Oxide(NOx)
7461,12.3,46.3,0.6597,622.0,Tungsten Oxide(NOx)
7462,12.2,47.0,0.6686,635.0,Tungsten Oxide(NOx)
7463,10.5,55.1,0.6993,573.0,Tungsten Oxide(NOx)
7464,8.7,66.3,0.7491,525.0,Tungsten Oxide(NOx)
7465,7.9,69.9,0.7487,496.0,Tungsten Oxide(NOx)
7466,7.6,65.3,0.6842,616.0,Tungsten Oxide(NOx)
7467,6.5,67.6,0.6608,590.0,Tungsten Oxide(NOx)
7468,5.9,66.4,0.6226,717.0,Tungsten Oxide(NOx)
7469,5.2,70.0,0.6232,655.0,Tungsten Oxide(NOx)
7470,5.2,67.8,0.6028,623.0,Tungsten Oxide(NOx)
7471,4.9,67.1,0.5863,705.0,Tungsten Oxide(NOx)
7472,5.1,65.5,0.5811,748.0,Tungsten Oxide(NOx)
7474,3.7,68.9,0.5549,819.0,Tungsten Oxide(NOx)
7475,4.5,62.7,0.5343,923.0,Tungsten Oxide(NOx)
7476,4.7,62.3,0.5368,910.0,Tungsten Oxide(NOx)
7477,3.9,67.1,0.5483,835.0,Tungsten Oxide(NOx)
7478,5.7,54.5,0.5034,898.0,Tungsten Oxide(NOx)
7479,6.1,50.3,0.4769,876.0,Tungsten Oxide(NOx)
7480,9.0,39.5,0.4554,1054.0,Tungsten Oxide(NOx)
7481,10.7,34.4,0.4406,1076.0,Tungsten Oxide(NOx)
7482,11.1,33.4,0.4401,1123.0,Tungsten Oxide(NOx)
7483,11.9,30.8,0.4285,1060.0,Tungsten Oxide(NOx)
7484,11.4,32.0,0.431,1142.0,Tungsten Oxide(NOx)
7485,11.3,32.5,0.4334,1144.0,Tungsten Oxide(NOx)
7486,11.0,33.0,0.4331,1037.0,Tungsten Oxide(NOx)
7487,10.3,35.0,0.4377,1017.0,Tungsten Oxide(NOx)
7488,8.4,40.9,0.4542,1002.0,Tungsten Oxide(NOx)
7489,8.3,38.5,0.4228,839.0,Tungsten Oxide(NOx)
7490,8.1,37.9,0.41,820.0,Tungsten Oxide(NOx)
7491,7.7,39.0,0.4106,959.0,Tungsten Oxide(NOx)
7492,7.0,41.5,0.4193,995.0,Tungsten Oxide(NOx)
7493,6.6,42.6,0.4179,905.0,Tungsten Oxide(NOx)
7494,6.4,44.2,0.428,954.0,Tungsten Oxide(NOx)
7495,6.0,46.0,0.4349,991.0,Tungsten Oxide(NOx)
7496,4.4,53.1,0.4484,1001.0,Tungsten Oxide(NOx)
7498,3.7,55.8,0.4489,1228.0,Tungsten Oxide(NOx)
7499,2.6,58.6,0.4385,1258.0,Tungsten Oxide(NOx)
7500,3.2,56.0,0.4364,1162.0,Tungsten Oxide(NOx)
7501,3.6,55.4,0.4419,1005.0,Tungsten Oxide(NOx)
7502,1.8,63.3,0.4464,612.0,Tungsten Oxide(NOx)
7503,2.4,60.2,0.4426,574.0,Tungsten Oxide(NOx)
7504,4.6,52.1,0.4472,617.0,Tungsten Oxide(NOx)
7505,8.2,40.5,0.4414,612.0,Tungsten Oxide(NOx)
7506,10.5,34.7,0.4393,639.0,Tungsten Oxide(NOx)
7507,11.1,33.3,0.4384,603.0,Tungsten Oxide(NOx)
7508,11.1,32.6,0.4292,611.0,Tungsten Oxide(NOx)
7509,12.4,28.3,0.4076,588.0,Tungsten Oxide(NOx)
7510,12.9,24.5,0.363,615.0,Tungsten Oxide(NOx)
7511,11.4,28.7,0.3865,535.0,Tungsten Oxide(NOx)
7512,9.2,39.3,0.4573,374.0,Tungsten Oxide(NOx)
7513,7.8,48.1,0.5115,384.0,Tungsten Oxide(NOx)
7514,7.2,50.6,0.517,563.0,Tungsten Oxide(NOx)
7515,6.0,53.3,0.5008,610.0,Tungsten Oxide(NOx)
7516,5.3,55.0,0.4921,715.0,Tungsten Oxide(NOx)
7517,4.2,58.1,0.4832,751.0,Tungsten Oxide(NOx)
7518,3.4,60.9,0.4809,775.0,Tungsten Oxide(NOx)
7519,3.0,60.2,0.4639,850.0,Tungsten Oxide(NOx)
7520,3.2,58.8,0.4578,958.0,Tungsten Oxide(NOx)
7522,4.5,53.8,0.4572,1076.0,Tungsten Oxide(NOx)
7523,3.1,59.7,0.4604,1023.0,Tungsten Oxide(NOx)
7524,4.2,57.1,0.4743,936.0,Tungsten Oxide(NOx)
7525,3.4,58.5,0.4608,783.0,Tungsten Oxide(NOx)
7526,3.9,57.3,0.4661,599.0,Tungsten Oxide(NOx)
7527,4.3,56.8,0.4768,509.0,Tungsten Oxide(NOx)
7528,5.6,52.9,0.4841,477.0,Tungsten Oxide(NOx)
7529,5.5,54.9,0.4985,542.0,Tungsten Oxide(NOx)
7530,5.1,64.3,0.5697,479.0,Tungsten Oxide(NOx)
7531,5.5,66.1,0.601,445.0,Tungsten Oxide(NOx)
7532,5.5,69.3,0.6331,420.0,Tungsten Oxide(NOx)
7533,5.0,75.5,0.6667,431.0,Tungsten Oxide(NOx)
7534,5.2,76.2,0.6796,436.0,Tungsten Oxide(NOx)
7535,5.3,77.4,0.6954,436.0,Tungsten Oxide(NOx)
7536,5.0,79.6,0.7022,410.0,Tungsten Oxide(NOx)
7537,5.1,83.0,0.7352,423.0,Tungsten Oxide(NOx)
7538,6.4,82.9,0.8022,466.0,Tungsten Oxide(NOx)
7539,10.3,74.0,0.9237,774.0,Tungsten Oxide(NOx)
7540,11.3,71.8,0.9577,932.0,Tungsten Oxide(NOx)
7541,9.8,81.9,0.9923,820.0,Tungsten Oxide(NOx)
7542,9.5,83.8,0.9972,712.0,Tungsten Oxide(NOx)
7543,9.9,81.0,0.9885,723.0,Tungsten Oxide(NOx)
7544,9.9,79.8,0.9725,822.0,Tungsten Oxide(NOx)
7546,4.8,75.7,0.659,1222.0,Tungsten Oxide(NOx)
7547,4.7,78.9,0.682,1263.0,Tungsten Oxide(NOx)
7548,5.0,75.0,0.6627,1235.0,Tungsten Oxide(NOx)
7549,5.6,69.5,0.6362,1046.0,Tungsten Oxide(NOx)
7550,7.0,64.9,0.6512,760.0,Tungsten Oxide(NOx)
7551,7.1,65.4,0.6644,732.0,Tungsten Oxide(NOx)
7552,6.4,67.4,0.6537,923.0,Tungsten Oxide(NOx)
7553,5.3,75.9,0.6824,1036.0,Tungsten Oxide(NOx)
7554,6.3,73.0,0.7024,1009.0,Tungsten Oxide(NOx)
7555,8.6,63.3,0.7073,889.0,Tungsten Oxide(NOx)
7556,10.0,55.0,0.6753,771.0,Tungsten Oxide(NOx)
7557,9.4,53.6,0.6333,904.0,Tungsten Oxide(NOx)
7558,9.2,55.0,0.6402,891.0,Tungsten Oxide(NOx)
7559,8.7,55.1,0.6228,915.0,Tungsten Oxide(NOx)
7560,8.9,54.4,0.62,766.0,Tungsten Oxide(NOx)
7561,8.6,53.6,0.5992,770.0,Tungsten Oxide(NOx)
7562,9.0,50.4,0.5809,721.0,Tungsten Oxide(NOx)
7563,9.2,49.8,0.5808,758.0,Tungsten Oxide(NOx)
7564,8.8,52.1,0.5918,1053.0,Tungsten Oxide(NOx)
7565,8.8,50.9,0.5781,963.0,Tungsten Oxide(NOx)
7566,8.7,51.1,0.5755,896.0,Tungsten Oxide(NOx)
7567,8.6,51.5,0.5772,1032.0,Tungsten Oxide(NOx)
7568,8.5,51.9,0.5766,1169.0,Tungsten Oxide(NOx)
7570,7.8,54.2,0.5755,1315.0,Tungsten Oxide(NOx)
7571,7.1,56.0,0.569,1278.0,Tungsten Oxide(NOx)
7572,7.0,57.6,0.5784,1013.0,Tungsten Oxide(NOx)
7573,7.5,55.3,0.5734,992.0,Tungsten Oxide(NOx)
7574,7.0,56.3,0.566,616.0,Tungsten Oxide(NOx)
7575,7.6,53.5,0.5605,552.0,Tungsten Oxide(NOx)
7576,8.3,50.5,0.5558,547.0,Tungsten Oxide(NOx)
7577,12.4,37.1,0.5329,649.0,Tungsten Oxide(NOx)
7578,13.9,32.3,0.5117,641.0,Tungsten Oxide(NOx)
7579,14.4,28.9,0.4723,638.0,Tungsten Oxide(NOx)
7580,14.8,25.4,0.4259,626.0,Tungsten Oxide(NOx)
7581,15.1,20.8,0.3536,745.0,Tungsten Oxide(NOx)
7582,15.4,23.5,0.4076,639.0,Tungsten Oxide(NOx)
7583,13.7,28.1,0.4381,534.0,Tungsten Oxide(NOx)
7584,11.5,37.5,0.5068,455.0,Tungsten Oxide(NOx)
7585,10.4,42.3,0.5337,511.0,Tungsten Oxide(NOx)
7586,9.9,44.0,0.5381,577.0,Tungsten Oxide(NOx)
7587,8.7,48.3,0.5458,618.0,Tungsten Oxide(NOx)
7588,8.1,49.9,0.5417,758.0,Tungsten Oxide(NOx)
7589,7.3,52.8,0.5419,773.0,Tungsten Oxide(NOx)
7590,8.0,52.2,0.5623,780.0,Tungsten Oxide(NOx)
7591,6.8,56.4,0.5609,786.0,Tungsten Oxide(NOx)
7592,6.7,57.4,0.5654,847.0,Tungsten Oxide(NOx)
7594,5.4,65.9,0.5947,757.0,Tungsten Oxide(NOx)
7595,5.5,66.5,0.6054,702.0,Tungsten Oxide(NOx)
7596,5.9,65.8,0.6178,628.0,Tungsten Oxide(NOx)
7597,6.4,63.9,0.6192,582.0,Tungsten Oxide(NOx)
7598,7.2,62.2,0.6351,465.0,Tungsten Oxide(NOx)
7599,7.9,60.0,0.6406,419.0,Tungsten Oxide(NOx)
7600,8.3,58.5,0.6403,500.0,Tungsten Oxide(NOx)
7601,9.3,54.5,0.6415,482.0,Tungsten Oxide(NOx)
7602,10.2,53.1,0.6608,464.0,Tungsten Oxide(NOx)
7603,11.1,51.4,0.679,451.0,Tungsten Oxide(NOx)
7604,12.8,46.9,0.6919,573.0,Tungsten Oxide(NOx)
7605,13.1,48.0,0.7181,526.0,Tungsten Oxide(NOx)
7606,13.5,51.5,0.793,469.0,Tungsten Oxide(NOx)
7607,13.4,51.2,0.7808,519.0,Tungsten Oxide(NOx)
7608,12.1,55.3,0.7777,506.0,Tungsten Oxide(NOx)
7609,12.0,56.5,0.7924,476.0,Tungsten Oxide(NOx)
7610,10.4,64.4,0.8123,355.0,Tungsten Oxide(NOx)
7611,9.4,69.1,0.815,370.0,Tungsten Oxide(NOx)
7612,8.9,71.0,0.8115,459.0,Tungsten Oxide(NOx)
7613,8.1,73.8,0.7968,496.0,Tungsten Oxide(NOx)
7614,7.3,76.8,0.7904,483.0,Tungsten Oxide(NOx)
7615,7.3,76.7,0.7862,552.0,Tungsten Oxide(NOx)
7616,7.1,77.3,0.7826,542.0,Tungsten Oxide(NOx)
7618,7.0,77.8,0.7848,605.0,Tungsten Oxide(NOx)
7619,5.7,80.5,0.7416,568.0,Tungsten Oxide(NOx)
7620,5.2,81.4,0.7276,590.0,Tungsten Oxide(NOx)
7621,5.6,80.4,0.7349,565.0,Tungsten Oxide(NOx)
7622,6.3,78.8,0.7544,522.0,Tungsten Oxide(NOx)
7623,6.9,76.9,0.7682,502.0,Tungsten Oxide(NOx)
7624,9.2,67.7,0.79,484.0,Tungsten Oxide(NOx)
7625,11.6,59.8,0.8152,502.0,Tungsten Oxide(NOx)
7626,14.0,52.0,0.8288,527.0,Tungsten Oxide(NOx)
7627,15.0,50.2,0.8495,535.0,Tungsten Oxide(NOx)
7628,14.9,49.9,0.8394,515.0,Tungsten Oxide(NOx)
7629,15.8,33.8,0.6034,770.0,Tungsten Oxide(NOx)
7630,15.4,29.3,0.5068,851.0,Tungsten Oxide(NOx)
7631,14.4,25.7,0.4193,823.0,Tungsten Oxide(NOx)
7632,13.4,27.2,0.4157,776.0,Tungsten Oxide(NOx)
7633,12.2,28.7,0.4077,687.0,Tungsten Oxide(NOx)
7634,11.3,25.7,0.3422,704.0,Tungsten Oxide(NOx)
7635,9.7,31.9,0.3848,549.0,Tungsten Oxide(NOx)
7636,8.4,36.5,0.4035,587.0,Tungsten Oxide(NOx)
7637,8.2,36.8,0.4016,610.0,Tungsten Oxide(NOx)
7638,8.0,36.0,0.3872,697.0,Tungsten Oxide(NOx)
7639,7.0,39.9,0.4006,784.0,Tungsten Oxide(NOx)
7640,5.7,44.3,0.4093,783.0,Tungsten Oxide(NOx)
7642,4.2,50.8,0.4234,854.0,Tungsten Oxide(NOx)
7643,4.6,45.1,0.3861,1101.0,Tungsten Oxide(NOx)
7644,2.7,53.3,0.4006,1112.0,Tungsten Oxide(NOx)
7645,3.1,51.0,0.3947,1165.0,Tungsten Oxide(NOx)
7646,2.5,54.1,0.4017,1119.0,Tungsten Oxide(NOx)
7647,3.1,53.5,0.4123,915.0,Tungsten Oxide(NOx)
7648,5.0,47.5,0.418,791.0,Tungsten Oxide(NOx)
7649,5.8,43.4,0.4032,775.0,Tungsten Oxide(NOx)
7650,7.1,42.8,0.4327,722.0,Tungsten Oxide(NOx)
7651,7.9,41.6,0.4459,712.0,Tungsten Oxide(NOx)
7652,8.1,41.2,0.448,737.0,Tungsten Oxide(NOx)
7653,8.3,41.3,0.4533,706.0,Tungsten Oxide(NOx)
7654,8.9,49.1,0.5629,756.0,Tungsten Oxide(NOx)
7655,7.1,66.0,0.6678,911.0,Tungsten Oxide(NOx)
7656,5.7,75.1,0.6942,849.0,Tungsten Oxide(NOx)
7657,5.4,77.6,0.7031,767.0,Tungsten Oxide(NOx)
7658,5.4,78.2,0.7074,674.0,Tungsten Oxide(NOx)
7659,7.3,68.1,0.6979,827.0,Tungsten Oxide(NOx)
7660,5.8,74.4,0.6924,903.0,Tungsten Oxide(NOx)
7661,6.2,72.3,0.6887,798.0,Tungsten Oxide(NOx)
7662,5.9,72.7,0.6791,848.0,Tungsten Oxide(NOx)
7663,5.0,76.5,0.6728,773.0,Tungsten Oxide(NOx)
7664,4.0,80.4,0.663,704.0,Tungsten Oxide(NOx)
